storeName,storeAddress,cityName,regionName,retailerName,storeType,storeLongitude,storeLatitude
"Store 1","267 Skiles Glen","South Grayce","TN","Retailer X","Supermarket","77.0720053","28.4343937"
"Store 2","325 Isaac Isle","Leslieville","NE","Retailer Y","Supermarket","77.0732838","28.4340765"
"Store 3","895 Reilly Manor","New Ariane","NJ","Retailer Z","Supermarket","77.0764260","28.4379944"
"Store 4","70600 The Mews","East Janechester","KS","Retailer [","Supermarket","77.0782870","28.4306179"
"Store 5","6245 Tremblay Forest","Port Ebbaburgh","OH","Retailer \","Convenience","77.0777455","28.4372025"
"Store 6","50349 Ozella Tunnel","East Nelda","VT","Retailer ]","Supermarket","77.0796088","28.4322255"
"Store 7","5758 Kaylin Rest","New Barrybury","WI","Retailer ^","Grocery","77.0778721","28.4308374"
"Store 8","5484 McClure Plains","West Tracyton","MN","Retailer _","Convenience","77.0752543","28.4363944"
"Store 9","9599 Myah Ford","Wolffview","NE","Retailer `","Supermarket","77.0737561","28.4335740"
"Store 10","2376 Balmoral Road","Hesperia","MN","Retailer a","Supermarket","77.0744172","28.4325487"
"Store 11","64064 Lorenza Prairie","Rowland Heights","KS","Retailer X","Grocery","77.0712615","28.4384449"
"Store 12","1074 North Road","Baldwin Park","MA","Retailer Y","Convenience","77.0720297","28.4370541"
"Store 13","79633 Mavis Light","Borerberg","MN","Retailer Z","Supermarket","77.0724063","28.4337675"
"Store 14","29558 Rodriguez Mount","O'Connercester","MS","Retailer [","Grocery","77.0746535","28.4328257"
"Store 15","23311 Suzanne Summit","Robertsland","WY","Retailer \","Supermarket","77.0781305","28.4324741"
"Store 16","685 Madison Path","Lonniestad","OR","Retailer ]","Supermarket","77.0758509","28.4368367"
"Store 17","7003 Botsford River","Lake Marques","NJ","Retailer ^","Supermarket","77.0794430","28.4327063"
"Store 18","39120 Buckridge Haven","South Gabriellestead","UT","Retailer _","Convenience","77.0719216","28.4359189"
"Store 19","1802 Christiana Run","South Rowland","VA","Retailer `","Grocery","77.0797659","28.4326295"
"Store 20","486 Maynard Union","Viviennestead","CO","Retailer a","Convenience","77.0745795","28.4374005"
"Store 21","2299 Hoeger Overpass","Lake Madisyn","ND","Retailer X","Supermarket","77.0779542","28.4387920"
